,Titulo1,Titulo2,Comuna,Region,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,hotel Cabañas Caribe .,Habitación en hotel,Choapa,Coquimbo,2,14,7, Habitación,8,privado,57.0,-31.9105,-71.5106,"https://maps.google.com/maps?ll=-31.9105,-71.5106&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"a 2 cuadras de la playa , ubicado en pleno centro , con estacionamiento privado  , cerca del Banco y comercio .Descubre los tesoros locales desde este moderno alojamiento.",['Cocina'],,,Sonia Alexandra,02-2023,https://www.airbnb.cl/rooms/818755362024826612?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=9adc2073-e538-443c-a76c-466ffef6a9b0
1,Maravilloso departamento en la playa Los Molles,Casa particular,Los Molles,Valparaíso,5,4,3, Habitación,2,privado,75.0,-32.23637,-71.51211,"https://maps.google.com/maps?ll=-32.23637,-71.51211&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Descanso y desconexión a un paso de la playa y del comercio local, restaurantes, un par de minutos de autopista 5 norte,  a media hora promedio de otros lugares turísticos como Parque Puquen, Pichidangui, Las dunas de longotoma, Papudo, La Ligua y su dulzura.

El espacio
Departamento amoblado, tiene 3 dormitorios y 2 baños, living-comedor, con estacionamiento, capacidad 5-6 personas. Ubicado a 1 cuadra de la playa, vista despejada al humedal y al fondo la playa. Tiene 1 cama de 2 plazas, 1 camarote (1 plaza) y 1 cama (1 plaza), todos con cubre colchón impermeable y hay cobertores. Agua caliente de termo y tiene cable.","['Acceso a playa Público o compartido', 'Frente a la playa']",4.67,21,Fresia,06-2018,https://www.airbnb.cl/rooms/33161943?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-07&previous_page_section_name=1000&federated_search_id=9adc2073-e538-443c-a76c-466ffef6a9b0
2,Departamento Papudo Laguna vista al mar,Apartamento con servicios incluidos entero,Papudo,Valparaíso,4,3,2, Habitación,2,privado,120.0,-32.5013,-71.4384,"https://maps.google.com/maps?ll=-32.5013,-71.4384&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Si quieres sentirte cómodo y confortable, junto con ofrecerte una vista insuperable y con seguridad para tus niños, no dudes en reservar.
El departamento tiene seguridad 24/7,  estacionamiento exclusivo, lavajillas, 2 cafeteras Nespresso y de grano, calefont con T° ajustable y WIFI de fibra óptica.
El lugar tiene de piscinas con arena, kayaks, acceso directo a la playa, rodeado de naturaleza, gastronomía y entorno familiar.","['Acceso a playa Público o compartido', 'Frente a la playa']",5.0,7,José Luis,12-2019,https://www.airbnb.cl/rooms/774464947510723729?adults=1&children=0&infants=0&pets=0&check_in=2023-03-03&check_out=2023-03-08&previous_page_section_name=1000&federated_search_id=9adc2073-e538-443c-a76c-466ffef6a9b0
3,Hermoso departamento 2D/2B/1E,Apartamento con servicios incluidos entero,Papudo,Valparaíso,5,3,2, Habitación,2,privado,120.0,-32.50114,-71.43676,"https://maps.google.com/maps?ll=-32.50114,-71.43676&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Departamento con 1 cama matrimonial, 2 camas de 1 1/2 plaza y si lo necesitas puedo dejarte 1 colchón inflable. Departamento en 6to piso, totalmente equipado con artículos de aseo, secador de pelo, parrilla y Wi-Fi, cuenta con todo lo necesario para tu estadía.
Condominio cuenta con acceso directo a laguna navegable, donde podrás practicar kayak, 3 piscinas para niños y adultos, reposeras, juegos infantiles, bicicleteros canchas de tenis y fútbol, salida directa al borde costero.


Condominio cuenta con acceso directo a laguna navegable, donde podrás practicar kayak, 3 piscinas para niños y adultos, reposeras, juegos infantiles, bicicleteros canchas de tenis y fútbol, salida directa al borde costero.","['Acceso a playa Público o compartido', 'Frente a la playa']",4.95,22,Jazmín,08-2020,https://www.airbnb.cl/rooms/53287857?adults=1&children=0&infants=0&pets=0&check_in=2023-03-20&check_out=2023-03-25&previous_page_section_name=1000&federated_search_id=9adc2073-e538-443c-a76c-466ffef6a9b0
4,Departamento Papudo Laguna frente al Mar/Laguna,Apartamento con servicios incluidos entero,La Ligua,Valparaíso,6,5,2, Habitación,2,privado,100.0,-32.50322,-71.43842,"https://maps.google.com/maps?ll=-32.50322,-71.43842&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Lindo Departamento en condominio Papudo Laguna, full equipado para 6 personas, con un estacionamiento.
Vista a la Laguna y a la playa
Con conexión a wifi y televisión por cable, terraza sin malla de seguridad.
Condominio cuenta con piscinas, Laguna navegable, canchas de tenis y baby fútbol, kayaks, juegos para niños.

No incluye Sabanas/Toallas.


El departamento está muy bien ubicado frente a la playa y laguna.
Muy bien equipado , moderno y linda decoración.",['Vista a la bahía'],4.82,34,Arturo,12-2016,https://www.airbnb.cl/rooms/41317326?adults=1&children=0&infants=0&pets=0&check_in=2023-03-06&check_out=2023-03-11&previous_page_section_name=1000&federated_search_id=9adc2073-e538-443c-a76c-466ffef6a9b0
5,Departamento de descanso,Apartamento con servicios incluidos entero,Papudo,Valparaíso,4,3,2, Habitación,2,privado,75.0,-32.50162,-71.45598,"https://maps.google.com/maps?ll=-32.50162,-71.45598&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Relájate con toda la familia en este tranquilo lugar para quedarse.

Hermoso departamento para 4 personas, cuenta con dos habitaciones ( 1 cama matrimonial + 2 cama nido) , dos baños, living comedor, cocina y patio con vista a toda la bahía de papudo. 
Un lugar tranquilo y acogedor para pasar unos días.


Condominio cuenta con piscina, canchas de tenis, quincho, sala multiuso y gym",['Vista a la playa'],4.85,34,Sofia,07-2019,https://www.airbnb.cl/rooms/53359337?adults=1&children=0&infants=0&pets=0&check_in=2023-03-06&check_out=2023-03-11&previous_page_section_name=1000&federated_search_id=9adc2073-e538-443c-a76c-466ffef6a9b0
6,Departamento Papudo Laguna para 9 personas,Apartamento con servicios incluidos entero,Papudo,Valparaíso,9,8,3, Habitación,2,privado,104.5,-32.45168,-71.22947,"https://maps.google.com/maps?ll=-32.45168,-71.22947&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Acogedor departamento en Papudo Laguna con vista a la laguna artificial y al mar, equipada para 9 personas 3D2B, segundo piso. 
El condominio cuenta con 3 piscinas, playas artificiales, cancha de tenis, futbol, deportes acuáticos en laguna artificial y juegos infantiles.

El espacio
Cuenta con 3 habitaciones y 2 baños, cocina equipada, living comedor y terraza con vista a laguna artificial, parrilla a gas y malla de seguridad. 
2 televisores, wifi, cable. 
En el condominio hay lavandería, espacios comunes como 3 piscinas, canchas de tenis y futbol y uso de kayak gratuitos.",['Acceso la playa Privado'],4.75,8,Valeria,10-2020,https://www.airbnb.cl/rooms/51491158?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000&federated_search_id=9adc2073-e538-443c-a76c-466ffef6a9b0
7,Suites Marittimo 's Los Vilos,Habitación privada en apartamento con servicios incluidos,Los Vilos,Coquimbo,4,4,4, Habitación,4,privado,40.0,-31.90978,-71.49736,"https://maps.google.com/maps?ll=-31.90978,-71.49736&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Estamos ubicados en el acceso principal del balneario de Los Vilos a pasos de negocios, locales comerciales y trasporte público",['Televisor de alta definición con cable estándar'],,,Paolo,08-2022,https://www.airbnb.cl/rooms/691896465246792271?adults=1&children=0&infants=0&pets=0&check_in=2023-07-01&check_out=2023-07-06&previous_page_section_name=1000&federated_search_id=9adc2073-e538-443c-a76c-466ffef6a9b0
8,Departamento con piscina y vista al mar CME422,Apartamento con servicios incluidos entero,Puchuncavi,Valparaíso,8,7,3, Habitación,2,privado,156.775,-32.65126,-71.42796,"https://maps.google.com/maps?ll=-32.65126,-71.42796&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Lindo departamento con vista al mar, ideal para descansar con la familia y  conectarse con la naturaleza. 
Tiene una terraza con vista al mar, para disfrutar de un buen libro, almorzar o relajarse mirando el mar.
Condominio Costamai, en Maitencillo, tiene seguridad las 24 hrs.
10 minutos caminando a la playa y restaurantes.
15 minutos caminando a la playa abanico.

NO SE ACEPTAN GRUPOS DE JÓVENES
NO ESTÁ PERMITIDO HACER FIESTAS
NO MASCOTAS",['Acceso la playa Público o compartido'],5.0,3,Martín,11-2019,https://www.airbnb.cl/rooms/752633544119636049?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=9adc2073-e538-443c-a76c-466ffef6a9b0
9,Departamento Papudo Laguna,Apartamento con servicios incluidos entero,Papudo,Valparaíso,5,6,2, Habitación,2,privado,100.0,-32.50152,-71.43891,"https://maps.google.com/maps?ll=-32.50152,-71.43891&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Hermoso departamento frente al mar (en primera línea). Muy acogedor, con muy distribución y aprovechamiento de espacios. Sus comodidades son perfectas (TV Cable, Wifi, etc) que ayudan a disfrutar de tu estadía como si estuvieras en casa.",['Vista a la playa'],4.92,52,Renzo,04-2016,https://www.airbnb.cl/rooms/12520696?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=9adc2073-e538-443c-a76c-466ffef6a9b0
