,Titulo1,Titulo2,Comuna,Region,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
46,"A pasos de la playa, Acogedor y lindo departmento",Vivienda rentada entero,Coquimbo,Chile,4,3,2, Habitación,2,privado,60.0,-29.9468,-71.2897,"https://maps.google.com/maps?ll=-29.9468,-71.2897&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Déjate atrapar por la magia de la IV región; lindo departamento 2D/2B, ubicado en piso 19 con vista panorámica, mallas de seguridad para la tranquilidad de tu familia, full equipado y estacionamiento privado para que tu estadía sea una experiencia inolvidable. Se encuentra a pasos de la playa, casino de juegos, principales pubs y restaurantes de la bahía, incluyendo Outlet Vivo.
*Cuna para bebés de hasta 9 Kg.
*Bicicleteros gratis
*Not Pet friendly
*No Toallas de cuerpo


*Cuna para bebé, peso máximo 9 kg (sin ropa de cama)
*Toallas solo de mano (no tenemos toallas para baño/piscina)
*Camas con sábanas
*Bicicleteros Gratis en las dependencias del edificio, solo debes traer tus bicicletas (y candados) para poder 
disfrutar de paseos por la costanera
*no se cuenta con toallas para el cuerpo
*Calefactor eléctrico para invierno",['Vista a la bahía'],4.90,21,Carolina Alejandra,05-2016,https://www.airbnb.cl/rooms/52586200?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=9f79f9c8-f94f-4013-b6c6-484df85f3def
47,La Serena Laguna del Mar Espectacular Vista!,Condo entero,La Serena,Región de Coquimbo,4,2,2, Habitación,2,privado,82.0,-29.87662,-71.27098,"https://maps.google.com/maps?ll=-29.87662,-71.27098&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Lugares de interés: el centro de la ciudad y increíbles vistas. Te va a encantar mi lugar debido a el espacio acogedor y las vistas. Mi alojamiento es bueno para parejas, aventureros, viajeros de negocios, familias (con hijos) y mascotas.

El espacio
Excelente vista, acogedor y con todas las comodidades para un excelente descanso y teletrabajo",['Vista a la bahía'],4.80,51,Evelyn,07-2016,https://www.airbnb.cl/rooms/14183990?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=9f79f9c8-f94f-4013-b6c6-484df85f3def
48,acogedor departamento de verano,Vivienda rentada entero,La Serena,Coquimbo,3,2,2, Habitación,2,privado,50.0,-29.94059,-71.25384,"https://maps.google.com/maps?ll=-29.94059,-71.25384&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Relájate en este espacio  tranquilo y familiar,  excelente ubicación, con fácil acceso a la avenida del mar, centro de la serena y conexión directa con camino principal al valle del elqui. Departamento consta de 1 Dormitorio matrimonial y 1 Dormitorio con  cama de 1 1/2 plaza.  Ideal para familia pequeña.  2 baños, logia, amplia terraza  y piscina.",['Vista a la playa'],,,Miguel,01-2023,https://www.airbnb.cl/rooms/812367004672523884?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=9f79f9c8-f94f-4013-b6c6-484df85f3def
49,"Depto. Avda del Mar, lado casino Enjoy",Vivienda rentada entero,Coquimbo,Región de Coquimbo,5,4,2, Habitación,2,privado,70.0,-29.94627,-71.29096,"https://maps.google.com/maps?ll=-29.94627,-71.29096&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"ambientación hogareña y cálida, cocina habilitada con horno, hervidor eléctrico, cafetera, refrigerador. Ubicado en primera línea, vista frontal al mar y puerto de Coquimbo. Accesos controlados, estacionamiento, cercano a restaurantes, pubs, Casino, ciclovía y costanera. A 10 minutos del centro de La Serena, centros comerciales y supermercados

El espacio
acogedor departamentos habilitado para parejas o grupo familiar, entorno privilegiado con acceso directo a la playa","['Acceso a la playa', 'Frente a la playa']",5.0,16,Ricardo,03-2018,https://www.airbnb.cl/rooms/23715820?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000&federated_search_id=9f79f9c8-f94f-4013-b6c6-484df85f3def
50,Departamento vista al mar a pasos de la playa 31,Vivienda rentada entero,La Serena,Región de Coquimbo,4,3,2, Habitación,2,privado,40.0,-29.9438,-71.28465,"https://maps.google.com/maps?ll=-29.9438,-71.28465&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Departamentos nuevos piso 11 (1103) con vista al mar a pasos de la playa y casino Enjoy Coquimbo, cerca de supermercados y centros comerciales, excelente conectividad, estacionamiento privado, quincho, lavandería de pago, sala multiuso, seguridad 24 horas, balcon cuenta con malla de seguridad.

El espacio
Áreas verdes, maquinas de ejercicios al aire libre y piscina, a 1 cuadra de la playa",['Costa'],4.94,138,Christian,05-2019,https://www.airbnb.cl/rooms/34945245?adults=1&children=0&infants=0&pets=0&check_in=2023-03-16&check_out=2023-03-21&previous_page_section_name=1000&federated_search_id=9f79f9c8-f94f-4013-b6c6-484df85f3def
51,"Puerto Velero, primera línea y primer piso",Vivienda rentada entero,Puerto Velero,Coquimbo,8,7,3, Habitación,"2,5",privado,190.0,-30.2432,-71.47343,"https://maps.google.com/maps?ll=-30.2432,-71.47343&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Departamento primer piso, primera linea. Recién remodelado, baños y cocina nuevos y completamente equipados. Capacidad para 8 personas (3 camarotes más una cama matrimonial). Tres dormitorios, dos baños completos y medio baño. Lavadora, lavavajillas, horno eléctrico y microondas. Terraza con living y comedor, vista al mar.",['Vista a la bahía'],4.88,17,Susana,11-2018,https://www.airbnb.cl/rooms/547618862569423981?adults=1&children=0&infants=0&pets=0&check_in=2023-03-15&check_out=2023-03-20&previous_page_section_name=1000&federated_search_id=9f79f9c8-f94f-4013-b6c6-484df85f3def
52,Exquisito departamento con jardín y vista al mar,Vivienda rentada entero,Puerto Velero,Región de Coquimbo,5,5,2, Habitación,2,privado,165.0,-30.23429,-71.47641,"https://maps.google.com/maps?ll=-30.23429,-71.47641&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Full equipado en 1er piso con jardín y vista 180 grados al mar. Linda decoración.
Piscina al aire libre, cancha de golf, restaurantes y quinchos para asados. Ideal para descansar y caminar, cerca de la Caleta de Tongoy famosa por sus ostiones y comida marina.

El espacio
Es una de las mejores playas de Chile y un dpto. muy lindo y funcional, de hermosa vista y comodidades. El dpto tiene WIFI y televisión por cable. Un TV en living comedor y otro en dormitorio principal.",['Cocina'],4.83,35,Rebeca,04-2016,https://www.airbnb.cl/rooms/12456542?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=9f79f9c8-f94f-4013-b6c6-484df85f3def
53,"Apartment for 4, luxurious condo right by the sea!",Condo entero,Coquimbo,Región de Coquimbo,5,4,2, Habitación,2,privado,75.0,-29.94691,-71.29302,"https://maps.google.com/maps?ll=-29.94691,-71.29302&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Apartments specially decorated for tourists. It is located on the first line facing the sea. 
It has two bedrooms, two bathrooms, living room, dining room and kitchen fully equipped
Large terrace, 1 electric grill, Cable TV DirecTv 

Sauna Room (Same Level) 
Physical Conditioning Room (Same Level) 
Jacuzzi Room (Same Level) 
Quincho (BBQ event in the roof, with fantastic views)
Heated Pool for Children and Adults (Reservation at the first level)


It has two bedrooms, one double, with bathroom en suite, closet and exit to balcony. Another with two beds of one and a half square each, with closet included in the room and an adjoining bathroom. Also a bed in the couch.
Living dining room and kitchen fully equipped
Large terrace, with 4 chairs and coffee table
1 electric grill
Cable TV DirecTv 
ADDITIONAL EQUIPMENT 
Sauna Room (Same Level) 
Physical Conditioning Room (Same Level Reservation) 
Jacuzzi Room (Same Level Reservation) 
Quincho (BBQ event in the roof, with fantastic views)
Heated Pool on the First Floor for Children and Adults ( Reservation at the first level)",['Vista al mar'],4.98,40,Trinidad,04-2019,https://www.airbnb.cl/rooms/37091660?adults=1&children=0&infants=0&pets=0&check_in=2023-03-11&check_out=2023-03-17&previous_page_section_name=1000&federated_search_id=9f79f9c8-f94f-4013-b6c6-484df85f3def
54,Lujoso departamento frente al mar y Casino Enjoy,Vivienda rentada entero,Coquimbo,Región de Coquimbo,4,3,2, Habitación,2,privado,73.0,-29.94909,-71.29132,"https://maps.google.com/maps?ll=-29.94909,-71.29132&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Mi alojamiento es bueno para parejas, aventureros, viajeros de negocios y familias.

El espacio
Al hospedarse con nosotros usted podrá descansar y sentirse como en su hogar, acceder a las comodidades propias de un departamento de lujo totalmente equipado, así como también tener la comodidad y libertad de disponer de nuestras instalaciones como un lugar de descanso, trabajo o desde donde poder recorrer nuestra hermosa ciudad. El departamento se encuentra ubicado en un lugar estratégico de fácil y rápido acceso a Ruta 5, Avenida Costanera, Avenida del Mar, a un costado del Casino Enjoy de Coquimbo y a pasos de importantes centros de entretención y restoranes.

La Región de Coquimbo le permitirá disfrutar de múltiples atractivos turísticos como Playas, Observatorios Astronómicos, Valles, Parques, Museos, Zoológico y Viñas, además de entregar condiciones únicas para el desarrollo de deportes como Surf, Pesca, Paracaidismo y Buceo.",['Acceso a la playa'],4.98,42,Felipe,02-2017,https://www.airbnb.cl/rooms/17237768?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=452c885c-e237-45cc-b37a-f9a679ff533c
55,Departamento AQUA La Serena 3D 2B,Vivienda rentada entero,La Serena,Coquimbo,9,7,3, Habitación,2,privado,85.0,-29.91553,-71.27295,"https://maps.google.com/maps?ll=-29.91553,-71.27295&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"El departamento se encuentra en primera línea con vista al mar, a pasos de la playa, piscina con olas para niños y adultos, piscina temperada, jacuzzi, logia. Excelente ubicación para salir a comer las mejores delicias del mar. Frente al edificio encontrarás la zona de surf y el mejor lugar para hacer deporte como caminata, bicicleta, correr,etc. El departamento está FULL equipado, cada habitación cuenta con televisión, el departamento incluye Wifi, dispensador de agua, entre otras cosas.


Te sentirás como en casa todos sus espacios son muy acogedores, podrás descansar en cualquier lugar del departamento, todas las habitaciones cuentan con televisión, Wifi.",['Acceso a la playa'],4.87,15,Barbara,11-2018,https://www.airbnb.cl/rooms/42251884?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=452c885c-e237-45cc-b37a-f9a679ff533c
