,Titulo1,Titulo2,Comuna,Region,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,Pichidangui Comoda Casa Vista al Mar Full Equipada,Casa de campo entero,Pichidangui,Coquimbo,10,8,4, Habitación,"2,5",privado,150.0,-32.1426,-71.53186,"https://maps.google.com/maps?ll=-32.1426,-71.53186&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Ven a relajarte y disfrutar de Pichidangui, a solo dos horas de Santiago, bellas postales, excelente vistas, playas tranquilas ideales para niños, rica gastronomia, todo lo que necesitas para compartir y disfrutar de momentos especiales",['Acceso a la playa'],5.0,14,Boris,01-2017,https://www.airbnb.cl/rooms/53997733?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=e0a6bf8f-fae5-4f01-8304-a296f3b6cd0f
1,Propiedad tranquila y relajante Zapallar area,Alojamiento entero,La Laguna de Zapallar,Zapallar,8,6,3, Habitación,2,privado,137.5,-32.6233,-71.4034,"https://maps.google.com/maps?ll=-32.6233,-71.4034&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"En un condominio vigilado 24/24 en 5000 m2 de terreno. Amplia terraza con vistas al mar y magníficas puestas de sol. Gran piscina privada.
A pocos minutos en auto de las playas de Maitencillo y la Laguna de Zapallar y 1/4 hora de Cachagua y Zapallar.

El espacio
Casa reciente, totalmente equipada en la tranquilidad de un condominio a 40 km de Viña del Mar a 160 km de Santiago por la autopista 5 Norte. Salida de Catapilco en el Km 138). Situado en el corazón de las playas  y la región de actividades de Zapallar, Papudo, Cachagua, Maitencillo.

El mantenimiento del exterior, incluida la piscina, es responsabilidad exclusiva de los propietarios.
 Tres dormitorios (detalles a continuación) cada uno con calefacción de gas.
 Una división reversible en el comedor/sala de estar. Desde agosto de 2022 ya no hay ningún problema con los cortes de energía, la energía del medidor ha aumentado y todo está funcionando.
 Los calentadores eléctricos adicionales están estrictamente PROHIBIDOS 
Desde diciembre de 2022, la casa está equipada con wifi WOM.",['Vista a la bahía'],4.73,75,Eliane,12-2011,https://www.airbnb.cl/rooms/23448070?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-07&previous_page_section_name=1000&federated_search_id=e0a6bf8f-fae5-4f01-8304-a296f3b6cd0f
2,Moderna casa con gran vista al mar en condominio.,Alojamiento entero,Puchuncaví,Valparaíso,10,12,4, Habitación,4,privado,216.0,-32.67861,-71.43127,"https://maps.google.com/maps?ll=-32.67861,-71.43127&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Vacaciones inolvidables en este alojamiento único y familiar. Espectacular vista panorámica al mar, en Condominio Lomas Blancas, a cinco minutos de las mejores playas de Maitencillo. 
Casa nueva con habitación principal en suite y gran terraza; otras tres habitaciones con baño. Doce camas, más dos cama-nido. Espaciosa sala de estar y grandes terrazas. Cocina americana. Quincho separado. Lindo jardín. Cuatro estacionamientos propios.
Condominio con seguridad, piscina, canchas de tenis, y pádel.",['Vista a la bahía'],4.88,8,Patricio,09-2014,https://www.airbnb.cl/rooms/54071143?adults=1&children=0&infants=0&pets=0&check_in=2023-03-07&check_out=2023-03-12&previous_page_section_name=1000&federated_search_id=e0a6bf8f-fae5-4f01-8304-a296f3b6cd0f
3,Vista al mar garantizada 100%,Alojamiento entero,Zapallar,Valparaíso,10,9,5, Habitación,5,privado,519.386,-32.5466,-71.4595,"https://maps.google.com/maps?ll=-32.5466,-71.4595&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Modern house 2015 with panoramic view, 5 bedrooms and 5 bathrooms, living room and large living room of 13 x 7 meters. Terrace 1 with pool, lounge chairs and furniture and a BQQ, very large roof terrace 2 with hot tub and special lounge chairs for sunbathing, and sunny terrace 3 in patio with dining room and terrace furniture. Full equipped, furnished with design and steps from the beach.


Zapallar es  un pequeño balneario y es el lugar  mas bonito y exclusivo  junto al mar en Chile. Tiene historia, una playa maravillosa, lindas casas con jardines y una rambla para caminar que recorre toda  la costa.Lo mas destacable es que es un lugar que fue diseñado para caminar  ya que la calle no pasa por la playa.","['Acceso a la playa', 'Frente a la playa']",4.83,68,Felipe,03-2015,https://www.airbnb.cl/rooms/5521776?adults=1&children=0&infants=0&pets=0&check_in=2023-03-13&check_out=2023-03-18&previous_page_section_name=1000&federated_search_id=e0a6bf8f-fae5-4f01-8304-a296f3b6cd0f
4,"Arriendo Casa Campo V Region, Chile",Casa de campo entero,Nogales,Valparaíso,8,7,3, Habitación,3,privado,160.0,-32.71766,-71.21737,"https://maps.google.com/maps?ll=-32.71766,-71.21737&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Casa de campo de madera y moderna en el valle del Aconcagua, ruta 5 norte km117, tres habitaciones, tres baños, es amplia y muy cómoda. chimenea,  parrilla, piscina, grandes jardines, linda vista campestre. Maitencillo y Playas cerca, ídem Ski
Ideal para descansar en el medio del campo Chileno y salir de las grandes multitudes

El espacio
Casa construida con madera del sur de Chile por un un arquitecto diferente y con mucha clase, disfrute de buenos asados, excelente piscina, buenos sofás, y un excelente ambiente de campo y aire puro que te hará muy bien para un buen descanso , esta cerca de la playa de Maitencillo y Viña del Mar. Estamos ubicados a menos de una hora de los Andes, además podemos ofrecerles los servicios de supermecado y aseo si desean.",['Vista al jardín'],4.91,70,Manuel,12-2015,https://www.airbnb.cl/rooms/9757492?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=e0a6bf8f-fae5-4f01-8304-a296f3b6cd0f
5,Casa en Maitencillo,Alojamiento entero,Puchuncaví,Valparaíso,6,4,3, Habitación,2,privado,160.0,-32.6402,-71.42622,"https://maps.google.com/maps?ll=-32.6402,-71.42622&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Ideal para familias que deseen estar en un espacio para relajarse y disfrutar un descanso. Dispone de Spa Inflable, Sauna, Piscina y Quincho para descansar. A 5 minutos de la playa El Abanicó caminando.",['Vista al patio'],,,Gonzalo,11-2015,https://www.airbnb.cl/rooms/762915358508855014?adults=1&children=0&infants=0&pets=0&check_in=2023-03-06&check_out=2023-03-11&previous_page_section_name=1000&federated_search_id=e0a6bf8f-fae5-4f01-8304-a296f3b6cd0f
6,SOÑADA Y AMPLIA CASA EN MAITENCILLO,Alojamiento entero,Puchuncaví,Valparaíso,10,9,4, Habitación,4,privado,310.0,-32.63506,-71.41974,"https://maps.google.com/maps?ll=-32.63506,-71.41974&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Alojamiento full equipado ideal para familias.  4 dormitorios y 4 baños, estar, living, comedor, cocina y logia. Muy cerca de la playa y locales comerciales. Tiene vista al mar, un gran quincho con parrilla y una piscina de 8 metros ideal para las tardes. Se encuentra en un vecindario seguro y apartado. Estacionamiento grande dentro de la casa.
AGUA, LUZ, GAS Y LEÑA INCLUIDOS

Acceso de los huéspedes
La casa cuenta con piscina , quincho , lavanderia , estacionamientos y hermosos jardines",['Costa'],5.0,5,Agustina,12-2020,https://www.airbnb.cl/rooms/47069751?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=e0a6bf8f-fae5-4f01-8304-a296f3b6cd0f
7,Casa para 9 a pasos del mar y muchos panoramas,Alojamiento entero,Puchuncaví,Valparaíso,9,7,4, Habitación,"4,5",privado,300.0,-32.6396,-71.43026,"https://maps.google.com/maps?ll=-32.6396,-71.43026&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Estamos al centro de Maitencillo, donde para llegar al mar solo debes cruzar la calle, nos rodean un sin fin de restaurantes que gozan de una rica gastronomía con frutos marítimos, comida italiana y al paso. Además para la entretención nuestra casa dispone de dos terrazas con vista al mar y parrilla, hay ferias artesanales, escuelas de surf y equitación, canchas de paddle y otros. 
En casa tenemos 4 televisores Smart y tenemos Fibra optica de 1000 Megas simétricos, calefacción, buena presión H2O",['Cocina'],,,Carmen,06-2021,https://www.airbnb.cl/rooms/755852918572010841?adults=1&children=0&infants=0&pets=0&check_in=2023-04-02&check_out=2023-04-09&previous_page_section_name=1000&federated_search_id=e0a6bf8f-fae5-4f01-8304-a296f3b6cd0f
8,"ZAPALLAR HERMOSA VISTA AL MAR 180º PISCINA, WiFi 10",Alojamiento entero,Zapallar,Región de Valparaíso,10,9,5, Habitación,5,privado,353.5,-32.54437,-71.45413,"https://maps.google.com/maps?ll=-32.54437,-71.45413&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Lugares de interés: parques, increíbles vistas y restaurantes y comida. Mi alojamiento es bueno para familias (con hijos).
wi fi

El espacio
Linda y comoda casa cinco dormitorios cuatro baños mas pieza y baño servicio gran jardin y piscina grande, preciosa vista todos los dormitorios vista al. mar,salita.  y escritorio , lavavajillas, lavadero con lavadora y secadora",['Vista a la bahía'],5.0,3,Patricia,10-2013,https://www.airbnb.cl/rooms/5885844?adults=1&children=0&infants=0&pets=0&check_in=2023-03-03&check_out=2023-03-09&previous_page_section_name=1000&federated_search_id=e0a6bf8f-fae5-4f01-8304-a296f3b6cd0f
9,Impresionante casa en Zapallar,Alojamiento entero,Zapallar,Valparaiso Region,12,12,6, Habitación,5,privado,490.278,-32.54765,-71.45998,"https://maps.google.com/maps?ll=-32.54765,-71.45998&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Hermosa casa de diseño situada en medio acre de bosque de pinos, con una gran vista al mar y a poca distancia de la playa y la ciudad. 
6 dormitorios y 5 baños. 
Oficina en casa separada. 
Piscina, bañera de hidromasaje, mesa de ping pong, cine en casa. 
NO ALQUILAMOS POR MENOS DE UNA SEMANA (dos semanas durante LA temporada alta). Se requiere un depósito de garantía.",['Acceso la playa Público o compartido'],4.75,4,Felipe,08-2016,https://www.airbnb.cl/rooms/15354324?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000&federated_search_id=e0a6bf8f-fae5-4f01-8304-a296f3b6cd0f
