,Titulo1,Titulo2,Comuna,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,Acojedora casa en la playa para 7 personas,Alojamiento entero,Los Molles,7,6,3, Habitación,2,privado,86.667,-32.23976,-71.51544,"https://maps.google.com/maps?ll=-32.23976,-71.51544&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Casa en un barrio muy tranquilo y residencial de Los Molles. Está a 5 minutos caminando a la playa y otros puntos turísticos del balneario. Perfecta combinación entre mar y tranquilidad, para bucear, hacer trekking y desconectarse.

Casa acogedora, amoblada con ambiente playero, recientemente remodelada, con WIFI y tv cable. 3 dormitorios, 2 baños y una terraza amplia y privada.",['Cocina'],4.78,18,Daniela,03-2020,https://www.airbnb.cl/rooms/42926324?adults=1&children=0&infants=0&pets=0&check_in=2023-02-27&check_out=2023-03-05&previous_page_section_name=1000
1,Hospedaje Aros Beltrán alojamiento partido,Alojamiento entero,Ovalle,9,5,6, Habitación,"2,5",privado,38.0,-30.61343,-71.21155,"https://maps.google.com/maps?ll=-30.61343,-71.21155&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,,['Cocina'],,,Claudia,01-2019,https://www.airbnb.cl/rooms/36211293?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000
2,CASA ECLIPSE 2 DE JULIO 2019,Alojamiento entero,Río Hurtado,5,4,3, Habitación,2,privado,80.0,-30.29314,-70.70781,"https://maps.google.com/maps?ll=-30.29314,-70.70781&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",Lugar mágico ubicado en un lugar rodeado por la naturaleza y,"Gran Casa para 5 o 6 Personas

Ubicada en un valle hermoso sin contaminación lumínica ideal para el relajo y el descanso completamente desconectado de la ciudad. 

Vive la naturaleza y observa el cielo nocturno como nunca antes lo has visto Rio Hurtado cuenta con uno de los Cielos Mas Limpios de Chile. Junto con la Región de Atacama por eso este lugar se vuelve ideal para la observación astronómica. 

Ideal para observar el Eclipse de Sol Julio 2019 Obervacion 100%.


La Casa cuenta con servicios tales Como. 

Agua Caliente
Television por Cable 
Wifi
Sala de Juego Mesa de Pool y Proyector de Peliculas. 
Cocina Completamente Amoblada.
2 Baños. con Tina de Hidromasajes.
Area de descanso.",['Cocina'],,,Edward,07-2018,https://www.airbnb.cl/rooms/33800070?adults=1&children=0&infants=0&pets=0&check_in=2023-02-16&check_out=2023-02-22&previous_page_section_name=1000
3,"Guest Home Peñuelas todo el año. Coquimbo, Chile.",Habitación privada en alojamiento,Coquimbo,4,4,2, Habitación,2,privado,37.8,-29.95928,-71.2964,"https://maps.google.com/maps?ll=-29.95928,-71.2964&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",Barrio residencial con bastante comercio para abastecerse y muy cerca de la playa y locomoción colectiva,"2 lindas habitaciones enfrentadas cada una con baño exclusivo, en piso exclusivo de mi casa  particular habitada, en barrio tranquilo y zona muy segura, con todos los protócolos COVID.
A pasos de la playa,  cerca de locomoción colectiva, a minutos de supermercado, centros comerciales y turísticos de Coquimbo y La Serena. 
Nuestros huéspedes pueden disfrutar de gran independencia o de nuestra hospitalidad y compañía. La idea es que tengan más que la experiencia que imaginaban. Muy bienvenidos!


Mi casa, dónde personalmente atiendo a mis  visitas. Entre campo y mar, en el barrio de Peñuelas, sector norte de Coquimbo, muy cerca de atractivos turísticos diurnos, como playa y costanera, restoranes, malls y outlets, así como nocturnos, casino Enjoy, restoranes, pubs y discos.",['Vista a la bahía'],,,Vivian,03-2018,https://www.airbnb.cl/rooms/32986645?adults=1&children=0&infants=0&pets=0&check_in=2023-03-12&check_out=2023-03-19&previous_page_section_name=1000
4,"Eclipse Solar 2019 Chile - La Serena, alojamiento",Habitación privada en cabaña,La Serena,4,3,2, Habitación,2,privado,30.0,-29.99293,-71.0574,"https://maps.google.com/maps?ll=-29.99293,-71.0574&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","entorno completamente agricola y recidencial, observatorios cerca,","Cabaña de familia ubicada a 15KM de la serena chile y a 5 minutos del aeropuerto nacional.
amplio panorama para visualizar los cielos mas limpios del mundo.  y tener una experiencia con el eclipse solar 2019
en este espacio a demas de alojarte existe un programa para el dia del eclipse que constara de recreacion dirigida desayunos chilenos  campestres , almuerzo buffet, coktailes.
La cabaña es calida, facil acceso.


Nuestros espacios cuentan con amplias zonas verdes, zona de descanso para disfrutar del maravilloso entorno que ofrece la naturaleza, dando así una tranquilidad acogedora para hacer de su viaje una experiencia inolvidable.",['Cocina'],,,Andrea,05-2019,https://www.airbnb.cl/rooms/34601999?adults=1&children=0&infants=0&pets=0&check_in=2023-02-15&check_out=2023-02-20&previous_page_section_name=1000
5,Danivis S.P.A,Habitación privada en alojamiento,La Serena,1,9,7, Habitación,3compartidos,compartido,32.514,-29.90087,-71.26071,"https://maps.google.com/maps?ll=-29.90087,-71.26071&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","imagina, vivir rodeado de parques y plazas, en una ubicación excepcional, a pasos de los principales atractivos de la ciudad, como universidades , centros comerciales , playas y todo con una conectividad inmejorable .tu estadía en La Serena comienza en alojamiento Danivis SPA Reserva","Porque hemos pensado en ustedes, hemos preparado cuidadosamente esta casa , justo lo que necesitas para una estadía inolvidable entretenida y muy acogedora.
Tenemos una tranquila y placentero hostel que cuentan con baños privados y compartidos, limpios y desinfectados toallas y desayuno incluido.
nos ubicamos en un Barrio cerca de todo lo que desees conocer a 5 minutos de la histórica ciudad  ""La Serena"", a 10 minutos de la playa, donde te espera nuestro eficiente personal bilingüe de la ciudad.


 

""El corazón de la casa ¡su gran salón! es un espacio abierto para los turistas con vista a un gran patio , donde se encuentra la asadera para disfrutar con amigos , o con tu desees perfecto para pasar tiempo en familia. Siéntate en el sofá y deja que el sol entre por los grandes ventanales mientras lees un libro de nuestra pequeña biblioteca y los niños juegan a los divertidos juegos de mesa que proporcionamos. Si el tiempo no acompaña, podréis estar en casa viendo una película en la tele de la sala ¡lo tenéis todo! El salón se encuentra en la planta principal, separado de la cocina . ","['Acceso a la playa', 'Frente a la playa']",4.50,12,Viviana,09-2017,https://www.airbnb.cl/rooms/20947910?adults=1&children=0&infants=0&pets=0&check_in=2023-02-14&check_out=2023-02-19&previous_page_section_name=1000
6,Hostelhuentelauquen,Casa de campo entero,La Serena,6,6,3, Habitación,2,privado,80.0,-29.93346,-71.28261,"https://maps.google.com/maps?ll=-29.93346,-71.28261&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Linda decoración , casa muy  amplia , vista al mar , baja a la playa , de noche puedes apreciar un cielo despejado muy lindo , 100% sustentable , a 270 km al norte de Santiago de Chile .",['Cocina'],,,Backpackers,05-2019,https://www.airbnb.cl/rooms/34979872?adults=1&children=0&infants=0&pets=0&check_in=2023-02-21&check_out=2023-02-27&previous_page_section_name=1000
7,Chile Eclipse : Estrellas de Elqui (La Serena),Habitación privada en chalé,La Serena,10,7,5, Habitación,2,privado,100.0,-29.9648,-71.11894,"https://maps.google.com/maps?ll=-29.9648,-71.11894&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Cielos estrellados, aire puro y se puede observar perfectamente el eclipse total (02.Julio. 2019)","Es una casa grande, muy cómoda con mucho espacio afuera, rodeado de naturaleza, casa enclavada en una ladera a los pies del cerro, con una hermosa vista al valle de Elqui. Lugar apreciado por sus cielos estrellados y para disfrutar, largas caminatas al aire libre, paz y tranquilidad.

El espacio
Es un hogar familiar. Muy confortable. Espacioso. Rodeado de naturaleza. Buen clima. Paz y tranquilidad.",['Cocina'],,,Isabel,04-2019,https://www.airbnb.cl/rooms/34125880?adults=1&children=0&infants=0&pets=0&check_in=2023-02-21&check_out=2023-02-27&previous_page_section_name=1000
8,Serena chile,Alojamiento entero,La Serena,3,3,3, Habitación,2,privado,130.0,-29.94949,-71.24483,"https://maps.google.com/maps?ll=-29.94949,-71.24483&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",Un barrio muy residencial tranquilo etc.,"El espacio
Alojamiento cómodo tranquilo lugar previligiado por turistas, están los mejores restorantes cafés,supermercados,farmacias etc
5 minutos al aeropuerto.

Otros aspectos a destacar
10 minutos para la playa 
10 minutos al centro de la ciudad
Visitas al valle del Elqui etc.",['Cocina'],,,Gloria,05-2019,https://www.airbnb.cl/rooms/34603435?adults=1&children=0&infants=0&pets=0&check_in=2023-02-14&check_out=2023-02-19&previous_page_section_name=1000
9,Eclipse SOLAR total en La Casona,Habitación privada en casa de campo,Río Hurtado,13,11,3, Habitación,2compartidos,compartido,130.0,-30.26786,-70.6661,"https://maps.google.com/maps?ll=-30.26786,-70.6661&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Localidad rural, con un ambiente tranquilo que te permite disfrutar de la naturaleza","Disfruta del eclipse SOLAR  total en la hermosa comuna de Río Hurtado, más conocido como  valle de las estrella, lugar mágico y natural. En la localidad de Huampulla te ofrecemos el alojamiento perfecto, contamos con habitaciones  compartidas al estilo campestre

El espacio
Habitaciones compartidas para 5 personas incluido desayuno campestre",['Se permiten mascotas'],,,Mercedes,01-2019,https://www.airbnb.cl/rooms/35969144?adults=1&children=0&infants=0&pets=0&check_in=2023-02-14&check_out=2023-02-19&previous_page_section_name=1000
