,Titulo1,Titulo2,Comuna,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,hermoso y con una vista única,Suite de invitados entero,Coquimbo,6,4,3, Habitación,1,privado,45.0,-29.96965,-71.32644,"https://maps.google.com/maps?ll=-29.96965,-71.32644&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,Relájate con toda la familia en este alojamiento donde la tranquilidad se respira.,['Cocina'],4.84,25,Alex,07-2020,https://www.airbnb.cl/rooms/51847229?adults=1&children=0&infants=0&pets=0&check_in=2023-02-23&check_out=2023-02-28&previous_page_section_name=1000
1,Acogedora y Centrica Casa de Huespedes!,Casa de huéspedes entero,Coquimbo,4,3,3, Habitación,1,privado,31.5,-29.95865,-71.33637,"https://maps.google.com/maps?ll=-29.95865,-71.33637&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Barrio Baquedano es un sector comercial en pleno centro de Coquimbo, nuestro establecimiento está ubicado a un costado del Mall VIVO, por lo que hay un gran movimiento en horarios punta, pero su ubicación es privilegiada por estar a pasos de todo, incluyendo supermercados, cines y el ""Terminal de Buses"".

A solo minutos , podemos encontrar el Fuerte de Coquimbo, la Cruz del Tercer Milenio, Centro Cultural Mohammed VI (La Mezquita), Gastronomía Típica del Terminal Pesquero, acceso a la playa por la Avenida del Mar, entre otros.","Disfruta de una experiencia con estilo en un espacio céntrico, full equipado y cercano a las mayores atracciones que este pintoresco puerto tiene para conocer. El alojamiento se encuentra a pasos del Mall VIVO y el sector centro de Coquimbo, por lo que prácticamente tienes de todo a tu alcance, incluyendo el ""Terminal de Buses"".

El espacio
Para persona sola o parejas / máx 2 huéspedes. 
- 1 habitación con cama matrimonial

Para reservas de 3 a 4 huéspedes
- 2 habitaciones extra con cama individual

- ropa de cama
- veladores
- armarios
- colgadores de ropa
- toallas de baño
- baño amplio con ducha y agua caliente
- secador de pelo
- cocina equipada
- dispensador de agua purificada
- sala de estar / Smart TV & Streaming
- mesa / artículos de escritorio
- acceso gratuito a WiFi
- estacionamiento gratuito / 1 plaza",['Acceso la playa Público o compartido'],4.94,88,Caro,02-2017,https://www.airbnb.cl/rooms/52188174?adults=1&children=0&infants=0&pets=0&check_in=2023-03-04&check_out=2023-03-10&previous_page_section_name=1000
2,departamento interior,Suite de invitados entero,La Serena,5,4,3, Habitación,1,privado,35.0,-29.87176,-71.24037,"https://maps.google.com/maps?ll=-29.87176,-71.24037&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"departamento interior en segundo piso , ubicado en las compañías, a 10 minutos del centro de la serena y 15 de la avenida del mar , cuenta con 3 dormitorios, 1 cama de dos plazas y 3 camas de 1 plaza , 1 baño , tiene estacionamiento para 1 vehículo",['Cocina'],,,Cristián,09-2022,https://www.airbnb.cl/rooms/732710000308541343?adults=1&children=0&infants=0&pets=0&check_in=2023-02-17&check_out=2023-02-22&previous_page_section_name=1000
3,Casa con piscina frente Bahía la Herradura 👍🏼 vista,Casa de huéspedes entero,Coquimbo,10,8,4, Habitación,3,privado,150.0,-29.97578,-71.36833,"https://maps.google.com/maps?ll=-29.97578,-71.36833&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Barrio residencial muy seguro. Cerca de playa del club de Yates y Playa bahía la Herradura, cercano a varios minimarket y supermercado Santa Isabel, club de yates, y mirador la herradura.","Maravillosa casa con piscina (desde octubre) frente al mar, primer piso totalmente independiente, y con vista a la Herradura de Coquimbo. A distancia caminable de la playa (6 cuadras) y en barrio residencial muy seguro y tranquilo. 
Tres terrazas, dos techadas
Estacionamiento para dos vehículos, amplio jardín, y lavadero.
Piscina en patio superior con gran terraza descubierta y una vista incomparable a la bahía.


Alojamiento completamente equipado para 10 personas.",['Costa'],4.60,35,Viviana Sarella,08-2017,https://www.airbnb.cl/rooms/31208702?adults=1&children=0&infants=0&pets=0&check_in=2023-02-26&check_out=2023-03-04&previous_page_section_name=1000
4,Casa para Huéspedes,Casa de huéspedes entero,Coquimbo,6,5,3, Habitación,2,privado,27.723,-29.98605,-71.35277,"https://maps.google.com/maps?ll=-29.98605,-71.35277&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Vecindario Residencial, Silencioso. Se puede acceder al mar caminado a unos 5 minutos. Se puede encontrar supermercado Santa Isabel, cerca. La playa mas cercana es llamada ""playa la herradura"", la que tiene numerosos restoranes muy bien evaluados, hay un pequeño bulevar donde se puede acceder a una pastelería con patio de comida y un mini Marquet. También pueden visitar un pequeño muelle con sus veleros y todo a unos pasos de la residencia.","Relájate con   la familia en este tranquilo y seguro barrio a pocos minutos del mar.

 Un espacio muy hogareño,  tranquilo y acogedor. 

 Yo, Patricia como anfitriona los ayudaré a que se sientan como en su hogar. 

Tendrás un espacio  exclusivo, con total privacidad.

Bienvenidos!",['Acceso a la playa'],,,Juan,03-2013,https://www.airbnb.cl/rooms/807185136401739069?adults=1&children=0&infants=0&pets=0&check_in=2023-02-25&check_out=2023-03-04&previous_page_section_name=1000
5,"Arriendo mi segundo piso, entrada independiente",Casa de huéspedes entero,Coquimbo,10,7,4, Habitación,2,privado,51.2,-29.95597,-71.27116,"https://maps.google.com/maps?ll=-29.95597,-71.27116&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",Es un barrio residencial y tranquilo.,"Alojamiento ubicado en el límite de la ciudades de La Serena y Coquimbo, cercano a playas, supermercados, mall, Outlet, estaciones de combustible, centro de La Serena y  Coquimbo.
2.7 km a Playa Peñuelas,  Avenida del mar.
2,6 km a casino Enjoy Coquimbo. 
1 km a supermercado Lider y Unimarc. 
1.9 km a Vivo Outlet Peñuelas. 
4.4 km a Arauco Premiun Outlet Coquimbo.
6.8 km a mall Plaza La Serena.
7.9 km mall vivo Coquimbo.
8.2 km plaza de armas de La Serena.
8.7 km a plaza de armas de Coquimbo.


es una casa de segundo piso con entrada independiente y un estacionamiento.
esta habilitada para un máximo de 8 personas. 
cuenta con 4 dormitorios disponiblessegún númerode personas as, 2 baños, living, comedor y cocina amplia.",['Acceso la playa Público o compartido'],4.77,13,Jorge,01-2019,https://www.airbnb.cl/rooms/533118717654437416?adults=1&children=0&infants=0&pets=0&check_in=2023-02-27&check_out=2023-03-04&previous_page_section_name=1000
6,"Guanaqueros, Campo y mar",Habitación privada en casa de huéspedes,Guanaqueros,8,5,4, Habitación,2,privado,120.008,-30.2103,-71.3968,"https://maps.google.com/maps?ll=-30.2103,-71.3968&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",Sector rural con caminos de tierra muy tranquilo y sin bulla,"Lleva a toda la familia a este fantástico lugar con muchas zonas para divertirse.
Con muchas áreas al aire libre, piscinas, tinaja, quincho, cómodas y hermosas habitaciones que harán de tus vacaciones una experiencia inolvidable.

Otros aspectos a destacar
Habitaciones con baño privado y espacios como cocina, quincho, piscinas, comedores son compartidos con otros huéspedes",['Cocina'],,,Nelson,01-2023,https://www.airbnb.cl/rooms/811039120797830605?adults=1&children=0&infants=0&pets=0&check_in=2023-02-25&check_out=2023-03-02&previous_page_section_name=1000
7,Casa acogedora en la comunidad ecológica el Panul,Casa de huéspedes entero,Coquimbo,7,5,3, Habitación,"1,5",privado,72.561,-29.98889,-71.35872,"https://maps.google.com/maps?ll=-29.98889,-71.35872&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Comunidad Ecologica, Ensenada Panul con Animales y plantas Endemicas, habitadas por familias y normativas Ecológicas, senderos con porton de entrada unico. Viviendas acorde con la naturaleza.","Desconecta y re conecta en este alojamiento único y relajante, en medio de la naturaleza única de la comunidad ecológica del Panul.",['Vista a la bahía'],4.86,7,Carlos Dixon,07-2021,https://www.airbnb.cl/rooms/51319329?adults=1&children=0&infants=0&pets=0&check_in=2023-02-19&check_out=2023-02-24&previous_page_section_name=1000
8,"Guanaqueros, naturaleza y campo",Habitación privada en casa de huéspedes,Coquimbo,6,5,3, Habitación,2,privado,64.638,-30.2099,-71.3968,"https://maps.google.com/maps?ll=-30.2099,-71.3968&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,Lleva a toda la familia a este fantástico lugar con muchas zonas para divertirse.,['Cocina'],,,Nelson,01-2023,https://www.airbnb.cl/rooms/824478327357277569?adults=1&children=0&infants=0&pets=0&check_in=2023-02-14&check_out=2023-02-19&previous_page_section_name=1000
9,Casa Valle del Elqui,Casa de huéspedes entero,La Serena,6,4,3, Habitación,2,privado,79.7,-29.92432,-71.21566,"https://maps.google.com/maps?ll=-29.92432,-71.21566&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Acogedora parcela  en condominio ,  ubicada en el Valle del Elquí. Cabaña con capacidad para 6 personas, 3 dormitorios y 2 baños.  Cuenta con piscina y cancha de baby fútbol.",['Cocina'],,,Rocio,04-2017,https://www.airbnb.cl/rooms/35414440?adults=1&children=0&infants=0&pets=0&check_in=2023-04-01&check_out=2023-04-07&previous_page_section_name=1000
