,Titulo1,Titulo2,Comuna,Region,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,Casa con piscina en Cond Agua Dulce Huentelauquén,Alojamiento entero,Angostura,Coquimbo,8,5,3, Habitación,2,privado,180.0,-31.5149,-71.5605,"https://maps.google.com/maps?ll=-31.5149,-71.5605&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Casa Nueva, recién construida en Condominio Agua Dulce. El condominio tiene acceso controlado, seguridad permanente y acceso directo a la playa, cuenta con 5 canchas de tenis , 3 canchas de futbolito, caleta de pescadores, juegos para niños y senderos para trekking sin costo extra. 

La casa tiene una hermosa vista a toda la bahía y una piscina de 8 x 4 mts, muy amplia para toda la familia.


La vista al mar es increible, todo el frente de la casa es vidreado, por ende la vista es completa y despejada al mar. El condominio cuenta con caminos con maicillo compactado, ideal para salir a correr, andar en bicicleta o caminar.",['Cocina'],5.0,5,Rodrigo,06-2016,https://www.airbnb.cl/rooms/804957401975945423?adults=1&children=0&infants=0&pets=0&check_in=2023-03-05&check_out=2023-03-12&previous_page_section_name=1000&federated_search_id=eb768f31-41de-4c67-94ac-1494ae4199db
1,Casa en Condominio Agua Dulce Huentelauquen,Villa entero,Angostura,Coquimbo,6,4,3, Habitación,3,privado,220.0,-31.52223,-71.55345,"https://maps.google.com/maps?ll=-31.52223,-71.55345&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"CASA QUEBRADA. Nature and reconnection!
A special place to spend time with love ones, relax, chill and explore. Our Villa combines a stunning spot at the edge of a cliff with full sea view. The deco is stylish and charming with art on every single room!

El espacio
A house at the edge of a cliff with perfect sea view and amazing nature surrounding the house. Our place is nicely decorated with art in every room. A large terrace with an outdoor jacuzzi plus a bbq area make it perfect for a family holiday","['Acceso a playa Privado', 'Frente a la playa']",4.78,18,Maria,02-2014,https://www.airbnb.cl/rooms/50591250?adults=1&children=0&infants=0&pets=0&check_in=2023-03-13&check_out=2023-03-20&previous_page_section_name=1000&federated_search_id=eb768f31-41de-4c67-94ac-1494ae4199db
2,Refugio totoralillo,Cabaña entero,Coquimbo,Región de Coquimbo,4,3,2, Habitación,1,privado,45.0,-30.04439,-71.37747,"https://maps.google.com/maps?ll=-30.04439,-71.37747&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"El espacio
Es una cabaña

Acceso de los huéspedes
Fácil acceso kilometro 450.5 , a 10 minutos de supermercados y el centro de coquimbo a 5 minutos en auto a la playa totoralillo caminando 30 minutos, locomoción a una cuadra de la cabaña, la cual esta emplazada en un terreno de 1000 mts cuadrados totalmente cerrado, al costado una casa independiente y otra cábaña .","['Acceso a la playa', 'Frente a la playa']",4.82,24,Elizabeth,01-2018,https://www.airbnb.cl/rooms/31073555?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=eb768f31-41de-4c67-94ac-1494ae4199db
3,"Cabaña con gran Patio, cerca de la Iglesia.",Cabaña entero,Pichidangui,Coquimbo Region,6,5,3, Habitación,"1,5",privado,65.0,-32.14137,-71.53083,"https://maps.google.com/maps?ll=-32.14137,-71.53083&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Lugares de interés: A 600 m de la Playa, la cual cuenta con 4,5 Km, Ruta del Cuarzo, Buenos Restaurantes, en Zona Segura de Tsunami. Muy familiar y tranquilo, ideal parejas, deportistas de mar y viento, buceo, Windsurf, Body Board, Trekking, natación y Bike.

El espacio
Cabaña muy acogedora para disfrutar un balneario muy tranquilo. El patio es de maicillo y tiene un sector con arena para que disfruten los niños. También cuenta con columpio y balancín y un amplio Quincho con baño y Frigobar.","['Acceso a playa Público o compartido', 'Frente a la playa']",4.56,41,Cristián,08-2016,https://www.airbnb.cl/rooms/17071960?adults=1&children=0&infants=0&pets=0&check_in=2023-03-05&check_out=2023-03-10&previous_page_section_name=1000&federated_search_id=eb768f31-41de-4c67-94ac-1494ae4199db
4,Lodge Roca Tongoy,Villa entero,Tongoy,Coquimbo Region,5,4,2, Habitación,"2,5",privado,108.0,-30.24943,-71.50175,"https://maps.google.com/maps?ll=-30.24943,-71.50175&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Una casa de playa super cómoda y de estilo único, ideal para relajarse y desconectarse de todo. Espectacularvista al mar, jardines y espacios para descansar y mirar el mar. Mobiliario sencillo y confortable. A cuatro cuadras de la playa Socos.

El espacio
Casa principal equipada para 5 personas cómodamente. Dormitorio en suite, dormitorio secundario y estar en segundo piso, cocina comedor y living pequeño, grandes terrazas.",['Acceso la playa Público o compartido'],4.44,16,Carmina,02-2018,https://www.airbnb.cl/rooms/39665418?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=eb768f31-41de-4c67-94ac-1494ae4199db
5,Linda CASA a pasos de la playa de Morrillos!,Alojamiento entero,Coquimbo,Región de Coquimbo,11,9,5, Habitación,3,privado,320.0,-30.12626,-71.36985,"https://maps.google.com/maps?ll=-30.12626,-71.36985&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Condominio privado. La casa está totalmente equipada para 11 personas. Muy acogedora, luminosa y bien distribuida, dos piezas matrimoniales en suite con TV. Cocina americana integrada al living, terraza techada, parrilla, columpios y juegos para niños. Está a 4 min. caminando de la playa (morrillos) y a 15 minutos en auto de Coquimbo  y a 5 minutos de Guanaqueros. Cerca de la casa hay un Humedal con aves de la zona, puedes ir caminando.


El lugar es muy tranquilo, ideal para descansar, hacer deportes al aire libre y gozar de los beneficios del mar, la playa y la naturaleza.
Los niños tienen un espacio ideal para juegos en el patio, con resbalín, columpios, foso de arena etc.",['Cocina'],5.0,31,Magdalena,11-2019,https://www.airbnb.cl/rooms/39948875?adults=1&children=0&infants=0&pets=0&check_in=2023-03-06&check_out=2023-03-11&previous_page_section_name=1000&federated_search_id=eb768f31-41de-4c67-94ac-1494ae4199db
6,Pichidangui Comoda Casa Vista al Mar Full Equipada,Casa de campo entero,Pichidangui,Coquimbo,10,8,4, Habitación,"2,5",privado,150.0,-32.1426,-71.53186,"https://maps.google.com/maps?ll=-32.1426,-71.53186&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Ven a relajarte y disfrutar de Pichidangui, a solo dos horas de Santiago, bellas postales, excelente vistas, playas tranquilas ideales para niños, rica gastronomia, todo lo que necesitas para compartir y disfrutar de momentos especiales",['Acceso a la playa'],5.0,14,Boris,01-2017,https://www.airbnb.cl/rooms/53997733?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=eb768f31-41de-4c67-94ac-1494ae4199db
7,arriendo cabaña cerca de playa en cuarta región,Cabaña entero,Coquimbo,Chile,4,3,2, Habitación,1,privado,45.0,-30.22089,-71.40419,"https://maps.google.com/maps?ll=-30.22089,-71.40419&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"CABAÑA🏠NUEVA EN GUANAQUEROS! Relájate con toda la familia en este alojamiento donde la tranquilidad se respira.
a minutos de la playa de guanaqueros. 
Cabaña segura con protecciones en sus ventanas y puertas.
se aceptan mascotas.
cuenta con sofá cama para otro integrante, si así lo requiere.",['Acceso a la playa'],,,Jocelyn,01-2023,https://www.airbnb.cl/rooms/806728567905802608?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=eb768f31-41de-4c67-94ac-1494ae4199db
8,"Increíble casa con vista al mar, pasos de la playa",Alojamiento entero,Coquimbo,Chile,8,7,3, Habitación,3,privado,230.0,-30.12514,-71.36978,"https://maps.google.com/maps?ll=-30.12514,-71.36978&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Increíble casa con espectacular vista al mar ubicada en segunda linea en condominio privado, a pasos de la playa ( 150 mts, 2 minutos caminando).

La casa tiene 3D y 3B (1 en suit) cocina americana full equipada , living, comedor, terraza, logia con lavadora y secadora y patio de servicio. Con una capacidad de 8 personas.

Condominio cuenta con seguridad las 24 hrs con nochero y portero permanente.

Ubicado a 15 minutos de Guanaqueros y Coquimbo


Casa nueva de hormigón, un piso (120m2 cubiertos) en parcela 5000 m2 . La propiedad tiene 3D, 3B (1 en suit) , cocina americana, living comedor, logia, patio de servicio, terraza de 50 m2 semi sombra, estacionamiento para 2 vehículos.
Actividades recreativas; playa, pesca, buceo, paseos en playa y laguna, naturaleza, descanso, avistamiento de aves
Condominio cuenta con seguridad las 24 hrs con portero y nochero permanentes","['Acceso a la playa', 'Frente a la playa']",5.0,10,Paula,02-2018,https://www.airbnb.cl/rooms/47451687?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=eb768f31-41de-4c67-94ac-1494ae4199db
9,tongoy cabaña para 5 personas frente al mar,Casa adosada entero,La Serena,Región de Coquimbo,5,4,2, Habitación,2,privado,60.0,-30.25065,-71.50568,"https://maps.google.com/maps?ll=-30.25065,-71.50568&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Lugares de interés: restaurantes y comida, la playa y actividades en familia. Te va a encantar mi lugar debido a las vistas, la ubicación y el ambiente. Mi alojamiento es bueno para parejas, aventureros, familias (con hijos), grupos grandes y mascotas.",['Cocina'],4.38,65,Nils,06-2016,https://www.airbnb.cl/rooms/13376313?adults=1&children=0&infants=0&pets=0&check_in=2023-03-13&check_out=2023-03-18&previous_page_section_name=1000&federated_search_id=eb768f31-41de-4c67-94ac-1494ae4199db
