,Titulo1,Titulo2,Comuna,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripción,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,"La Serena, 4 esquinas , a 1 cuadra de la playa",Vivienda rentada entero,La Serena,5,4,3, Habitación,1,privado,"48,750",-29.92626,-71.27456,"https://maps.google.com/maps?ll=-29.92626,-71.27456&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"A una cuadra de la playa, edificio con estacionamiento.

Cerca de locales Comerciales, Pub, Supermercado, lugares de entretención de niños y adultos, para la familia.

Depto tranquilo y sin ruidos

a 10 min caminando del Faro
A 10 minutos caminando del Casino",['Cocina'],,,Jose Matías,01-2019,https://www.airbnb.cl/rooms/31395568?adults=1&children=0&infants=0&pets=0&check_in=2023-04-20&check_out=2023-04-27&previous_page_section_name=1000
1,Hermoso Departamento en Peñuelas La Serena.,Vivienda rentada entero,Coquimbo,6,4,3, Habitación,1,privado,"48,018",-29.94819,-71.28936,"https://maps.google.com/maps?ll=-29.94819,-71.28936&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Departamento ubicado en avenida Peñuelas, entre las ciudades de La Serena y Coquimbo. Con fácil acceso a todos los lugares atractivos de esta región. Lugar tranquilo de ambiente turístico.","Hermoso departamento con una vista hacia la ciudad de Coquimbo y playa Peñuelas. Totalmente equipada para que las familias disfruten su estadía. Con una linda piscina para toda la familia y sector de juego para niños. A pasos de la playa principal y Casino de juegos. A lado de local que vende ricos helado artesanal italiano.

El espacio
Departamento familiar con mallas de seguridad para niños en todas la ventanas. Ubicada en avda peñuelas con fácil acces a la región de Coquimbo y todos los lugares turístico.",['Acceso a la playa'],4.69,16,Diego,02-2019,https://www.airbnb.cl/rooms/46453056?adults=1&children=0&infants=0&pets=0&check_in=2023-02-28&check_out=2023-03-05&previous_page_section_name=1000
2,Apartamento con vista al mar,Condo entero,La Serena,6,5,3, Habitación,2,privado,"120,400",-29.88028,-71.27244,"https://maps.google.com/maps?ll=-29.88028,-71.27244&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,Hermosa vista panorámica.,['Acceso a la playa'],4.85,26,Silvia,06-2019,https://www.airbnb.cl/rooms/35650684?adults=1&children=0&infants=0&pets=0&check_in=2023-02-19&check_out=2023-02-24&previous_page_section_name=1000
3,Departamento en el mejor barrio de La Serena.,Condo entero,La Serena,5,4,3, Habitación,1,privado,"60,000",-29.94149,-71.25401,"https://maps.google.com/maps?ll=-29.94149,-71.25401&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Frente y alrededor del Condominio existen varios Restaurantes de comida rápida, Chinos y Peruanos.","Condominio Lomas de San Joaquín,  donde prevalece la armonía y tranquilidad para un excelente convivir, en condominio con accesos controlados las 24 horas, con cámara y conserjes,  piscina, quinchos, estacionamiento propio y  para visitantes, áreas verdes, Cercanos a gimnasios, parque infantil,  grandes cadenas de supermercados, restaurantes,  colegios,  cocina amoblada y equipada, logia separada, cortinas, cómoda terraza con vista despejada.",['Vista al horizonte de la ciudad'],4.64,14,Zoila,12-2019,https://www.airbnb.cl/rooms/40787620?adults=1&children=0&infants=0&pets=0&check_in=2023-02-27&check_out=2023-03-04&previous_page_section_name=1000
4,HERMOSO DEPARTAMENTO EN LA SERENA,Vivienda rentada entero,La Serena,6,5,3, Habitación,2,privado,"50,000",-29.93024,-71.27759,"https://maps.google.com/maps?ll=-29.93024,-71.27759&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Es un lugar muy tranquilo y residencial, condominio privado y seguro. La playa cerca para ir a caminar de noche o hacer deporte.","Hermoso departamento en la mejor ubicación de La Serena, equipado para 6 personas, cómodas camas, ideal para descansar, hermosa decoración, un departamento ideal para ir en familia.
Departamento muy bien iluminado, con hermosa vista a la ciudad, cercano a 4 esquinas, a una cuadra de la playa, restaurantes, pub, artesanía....la mejor ubicación!!!


No fumar adentro del departamento, no hacer ruidos molestos a la comunidad, los huéspedes deben llevar sus toallas de baño y manos.",['Acceso a la playa'],4.71,21,Marcela,12-2018,https://www.airbnb.cl/rooms/30716746?adults=1&children=0&infants=0&pets=0&check_in=2023-07-01&check_out=2023-07-07&previous_page_section_name=1000
5,Bello Departamento en la serena,Vivienda rentada entero,La Serena,7,6,3, Habitación,2,privado,"90,000",-29.90811,-71.2683,"https://maps.google.com/maps?ll=-29.90811,-71.2683&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Este lugar tiene una ubicación estratégica: ¡será muy fácil planear tu visita!
200 metros de plata el faro, cercano a supermercados, mall puertas del mar. 
Vista al mar desde una habitación",['Acceso a la playa'],,,Valeria Del Carmen,10-2019,https://www.airbnb.cl/rooms/790492174345568456?adults=1&children=0&infants=0&pets=0&check_in=2023-02-19&check_out=2023-02-24&previous_page_section_name=1000
