,Titulo1,Titulo2,Comuna,Region,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,Cabaña privada con piscina,Casa de huéspedes entero,Vicuña,Chile,4,3,2, Habitación,1,privado,100.0,-30.02582,-70.72416,"https://maps.google.com/maps?ll=-30.02582,-70.72416&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Somos una pareja de científicos que queremos abrir nuestra residencia para que puedan disfrutar Del Valle del Elqui. Contamos con una cabaña privada (4 personas) ubicada en Vicuña, a minutos del centro. Amplias áreas verdes, juegos infantiles, estacionamiento techado, piscina privada y zona de picnic. Tenemos una huerta orgánica, puedes tomar lo que quieras y disfrutar de productos frescos


Cabaña nueva, con 2 dormitorios (cama matrimonial y otro con 1 camarote), cocina con frigobar y cocina pequeña, comedor y amplio living con futón y amplios ventanales con vista a las áreas verdes. La cabaña está rodeada de áreas verdes. Entrada privada con portón automático y estacionamiento techado",['Vista al patio'],5.0,21,Nicolas,10-2018,https://www.airbnb.cl/rooms/603555410978430912?adults=1&children=0&infants=0&pets=0&check_in=2023-04-28&check_out=2023-05-03&previous_page_section_name=1000&federated_search_id=8c08c64b-efdb-453d-95ad-388e4144606f
1,cabaña interior con vista al mar,Casa de huéspedes entero,Los Vilos,Coquimbo,3,2,2, Habitación,1,privado,80.0,-31.98885,-71.50996,"https://maps.google.com/maps?ll=-31.98885,-71.50996&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Cabaña interior en terreno compartido con familia anfitriona.
Ideal para relajarse solo, en pareja o familia. Con vista al mar y acceso a playa de rocas con pozones.
En zona de acantilados por lo que se recomienda resguardo de niños.

El espacio
Cabaña de 48m2 con 2 dormitorios, un baño, living-comedor y cocina integrada, amplia terraza.
Dormitorio principal con cama de 2 plazas y segundario con cama de 1 plaza",['Vista al océano'],5.0,22,Cecilia,09-2021,https://www.airbnb.cl/rooms/52169399?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=8c08c64b-efdb-453d-95ad-388e4144606f
2,Cabaña en el Portal del Valle de Elqui,Casa de huéspedes entero,La Serena,Coquimbo,4,3,2, Habitación,1,privado,30.0,-29.93048,-71.17061,"https://maps.google.com/maps?ll=-29.93048,-71.17061&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Acogedora cabaña con preciosa vista para 4 personas ubicada en el sector de Quebrada de Monardez, a 1 km de la ruta 41. 2 dorm, 1 cama  de 2p. 2 camas de 1 p-. 2 futones (más de 4 pax se cobra huésped adicional)A  8 - 15 min del centro de La Serena, a 5 m del aeropuerto, y a medio camino hacia el Valle. Indispensable venir en vehículo. Avisar por favor si vienen con mascotas, maximo 2,  pero siempre se debe notificar. Hay wifi y smart TV. 
Tenemos un cactáreo con bellas suculentas a la venta!


Es muy buen lugar para desconectarse, te evitas buen parte del taco al Valle, sobre todo el q se forma cerca del Aeropuerto. Hay linda vista, puedes venir con tus mascotas pero debes indicar cuántas son. Ideal no mas de 2 x temas de espacio.",['Cocina'],4.87,15,María Graciela,09-2015,https://www.airbnb.cl/rooms/569523416681349029?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=8c08c64b-efdb-453d-95ad-388e4144606f
3,Casa 5 minutos de la Playa,Casa de huéspedes entero,Coquimbo,Región de Coquimbo,3,2,2, Habitación,1,privado,30.0,-29.96918,-71.30261,"https://maps.google.com/maps?ll=-29.96918,-71.30261&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Casa completa para 2 o 3 personas dentro condominio con cierre perimetral. 
Ideal para parejas que buscan un lugar seguro y acogedor. 
2 Habitaciones, 1 con cama matrimonial  y 1 con cama individual. Baño completo con tina y ducha, cocina americana con hervidor, frigobar, vajilla y utensilios básicos. Sala de estar con comedor, 2 sofás, TV y wi-fi. 
Vista al mar desde el 2 piso. Estacionamiento interior techado.
3 Huéspedes como máximo incluyendo niños mayores de 2 años


Recibimos con mucho cariño a nuestros huéspedes y hacemos nuestro mayor esfuerzo para que se sientan cómodos y agradados. Nos preocupamos especialmente de la higiene y limpieza de la casa entre un huésped y otro.
Durante la estadía nos mantenemos atentos para orientarlos en lo que respecta a lugares interesantes de visitar, medios de transporte, gastronomía o cualquier necesidad que se presente.
Nuestro objetivo es que tengan el mejor recuerdo de nuestro espacio.",['Vista a la bahía'],4.76,38,Matias,12-2017,https://www.airbnb.cl/rooms/31338826?adults=1&children=0&infants=0&pets=0&check_in=2023-03-06&check_out=2023-03-12&previous_page_section_name=1000&federated_search_id=8c08c64b-efdb-453d-95ad-388e4144606f
4,Acogedora y Centrica Casa de Huespedes!,Casa de huéspedes entero,Coquimbo,Chile,4,3,3, Habitación,1,privado,28.35,-29.95865,-71.33637,"https://maps.google.com/maps?ll=-29.95865,-71.33637&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Disfruta de una experiencia con estilo en un espacio céntrico, full equipado y cercano a las mayores atracciones que este pintoresco puerto tiene para conocer. El alojamiento se encuentra a pasos del Mall VIVO y el sector centro de Coquimbo, por lo que prácticamente tienes de todo a tu alcance, incluyendo el ""Terminal de Buses"".

El espacio
Para persona sola o parejas / máx 2 huéspedes. 
- 1 habitación con cama matrimonial

Para reservas de 3 a 4 huéspedes
- 2 habitaciones extra con cama individual

- ropa de cama
- veladores
- armarios
- colgadores de ropa
- toallas de baño
- baño amplio con ducha y agua caliente
- secador de pelo
- cocina equipada
- dispensador de agua purificada
- sala de estar / Smart TV & Streaming
- mesa / artículos de escritorio
- acceso gratuito a WiFi
- estacionamiento gratuito / 1 plaza",['Acceso la playa Público o compartido'],4.94,89,Caro,02-2017,https://www.airbnb.cl/rooms/52188174?adults=1&children=0&infants=0&pets=0&check_in=2023-03-12&check_out=2023-03-19&previous_page_section_name=1000&federated_search_id=8c08c64b-efdb-453d-95ad-388e4144606f
5,hostal vicuña,Habitación privada en casa de huéspedes,Vicuña,Coquimbo,8,6,5, Habitación,2compartidos,compartido,15.0,-30.03303,-70.71569,"https://maps.google.com/maps?ll=-30.03303,-70.71569&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Disfruta de la sencillez de este alojamiento tranquilo, céntrico y economico

El espacio
hospedaje tranquilo, a 4 cuadras del centro, botillerias, supermercados, ferreterias y almacenes en las cercanias",['Cocina'],5.0,3,Sergio,10-2018,https://www.airbnb.cl/rooms/812232677851998860?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=8c08c64b-efdb-453d-95ad-388e4144606f
6,CasaDiaguitas; acogedora y privada Valle del Elqui,Casa de huéspedes entero,Diaguitas,Coquimbo,6,4,3, Habitación,2,privado,100.0,-30.02395,-70.64078,"https://maps.google.com/maps?ll=-30.02395,-70.64078&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Cabañas privadas para 6 personas totalmente equipada en el corazón del Valle del Elqui y un cielo impactante. ¿Lo has visto de noche?. Cuenta con piscina privada, TV satelital, estacionamiento, quincho con barbacoa, terraza y comodidades varias para que descanses como lo mereces. Ideal para familias en un ambiente pacífico y silencioso. 

Ofrecemos un espacio único con instalaciones privadas sólo para tí y tu familia.


Capacidad máxima atención, 6 personas.
Horario ingreso: 14:00 PM
Horario salida: 12:00PM

¿Qué ofrecemos?
Cabaña equipada con
Tv satelital
Dos habitaciones con ropa de cama
Living comedor
Cocina americana con todos los utensilios
Baño
Pergola con comedor exterior 
Quincho para asados
Terraza con living exterior
Piscina 
Sector hamacas
Columpio (niños)
Sector reposeras
Estacionamiento Interior privado
Terreno cercado, privado y con atención durante todo el día.",['Vista al patio'],,,Rolando,10-2021,https://www.airbnb.cl/rooms/52895064?adults=1&children=0&infants=0&pets=0&check_in=2023-03-06&check_out=2023-03-11&previous_page_section_name=1000&federated_search_id=8c08c64b-efdb-453d-95ad-388e4144606f
7,Hermosa y confortable cabaña en el valle,Casa de huéspedes entero,La Serena,Chile,5,5,2, Habitación,1,privado,60.0,-29.97387,-71.07519,"https://maps.google.com/maps?ll=-29.97387,-71.07519&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"El entorno es una parcela con áreas verdes y piscina.
La cabaña  es muy linda moderna y cálida  ... ideal para quien desea descansar en un lugar único, tranquilo y seguro . Con gran capacidad de estacionamiento .
También contamos con un gran y hermoso quincho , acogedor y al mismo tiempo rústico .
Estamos en el Valle del Elqui IV región Chile  pero, cerca de la playa y lugares turísticos.


No se admiten mascotas
Vivo camino al Valle De Elqui
Cerca de la playa pubs centro , etc",['Cocina'],5.0,12,Paula,12-2017,https://www.airbnb.cl/rooms/22025769?adults=1&children=0&infants=0&pets=0&check_in=2023-03-27&check_out=2023-04-01&previous_page_section_name=1000&federated_search_id=8c08c64b-efdb-453d-95ad-388e4144606f
8,Cabaña en Pichidangui Familiar,Casa de huéspedes entero,Pichidangui,Coquimbo,6,5,2, Habitación,1,privado,55.0,-32.1423,-71.5225,"https://maps.google.com/maps?ll=-32.1423,-71.5225&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Cabaña familiar ideal para un buen descanso, equipada para 5 personas, a 3 minutos caminando a la playa y comercio. Consta de 1 baño completo, cocina, refrigerador, horno microondas, 5 camas ( 1 de 2 plazas en el dormitorio principal y 2 camarotes en el dormitorio secundario). Estacionamiento para 2 autos, internet, cable y espacio de uso privado. 
Somos Pet Friendly con recargo por mascota (agrégala como huésped).
La cabaña se sitúa en un terreno familiar, y los anfitriones están disponibles.",['Vista al jardín'],5.0,4,Vanessa,09-2016,https://www.airbnb.cl/rooms/754557363388017180?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000&federated_search_id=8c08c64b-efdb-453d-95ad-388e4144606f
9,habitaciones con baño privado,Casa de huéspedes entero,Vicuña,Coquimbo,3,2,2, Habitación,1,privado,24.026,-30.01414,-70.62516,"https://maps.google.com/maps?ll=-30.01414,-70.62516&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Alojamiento rural en la localidad de Pullayes, a pocos kilómetros de la ciudad de Vicuña, IV Región. De fácil acceso tomando colectivos desde el terminal de Vicuña.
El lugar se encuentra rodeado por innumerables cerros con miles de historias. Se encuentra cerca de importantes y poco conocidos lugares con arte rupestre y otros sitios arqueológicos. Es un lugar ideal para la observación astronómica. 
Es un lugar muy iluminado y ventilado, con una vista insuperable y precios accesibles.",['Cocina'],,,Patricio,10-2018,https://www.airbnb.cl/rooms/795627780819195994?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=8c08c64b-efdb-453d-95ad-388e4144606f
