,Titulo1,Titulo2,Comuna,Region,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripcion,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,Espectacular vista y ubicación en Puerto Velero!,Vivienda rentada entero,Coquimbo,Chile,5,4,2, Habitación,2,privado,130.0,-30.24608,-71.45949,"https://maps.google.com/maps?ll=-30.24608,-71.45949&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"PH en Puerto Velero con espectacular vista panorámica al mar. Se ubica a solo pasos de la playa y piscinas del resort. Posee 2 dormitorios y 2 baños completamente equipado para 5 personas. Perfecto para familias con niños o parejas.

La propiedad cuenta con wifi, Smart TV de 75 y 55’’ con acceso a Netflix y Amazon Prime para noches de cine. Gran estacionamiento privado techado. Incluye sábanas y toallas.


El departamento posee lavavajilla, lavadora/secadora, micro-onda, hervidor eléctrico, juguera, secador de pelo, parrilla eléctrica y TV 75’ y 55’.

El condominio cuenta con múltiples areas verdes, piscinas, piscinas naturales, zona de quinchos, canchas de tennis, golf, pádel y futbolito. También hay Restaurant, cafetería, mini-market, zona de Spa, peluquería entre otros servicios.

Actividades especiales en temporada alta : yoga, escuela de futbol, voleibol, patrulla infantil, entre otros

Acceso controlado. Seguridad las 24 horas.

Tongoy se encuentra a 10 minutos en auto.

Guanaqueros a 13 minutos en auto.

Coquimbo y La Serena a 35 minutos en Auto.

Ovalle a 50 minutos en auto.",['Vista a la bahía'],4.91,35,Pedro,12-2015,https://www.airbnb.cl/rooms/46584343?adults=1&children=0&infants=0&pets=0&check_in=2023-03-03&check_out=2023-03-08&previous_page_section_name=1000&federated_search_id=d9bd527a-7da6-4ca8-b95d-80e977da1602
1,🏖Depto. Ideal en Puerto Velero. Full 2D-2B 🌊,Vivienda rentada entero,Puerto Velero,Coquimbo,6,5,2, Habitación,2,privado,100.0,-30.24581,-71.47923,"https://maps.google.com/maps?ll=-30.24581,-71.47923&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Precioso departamento en Puerto Velero, ideal para familias con niños o grupos de hasta 5 personas.
Ubicación Privilegiada con una linda vista panorámica al mar y los jardines. A pasos de la playa y piscinas. Muebles e implementos de primera calidad.
2 dorm. 2 baños. 1 estac.
Toallas de baño y ropa de cama.
Wifi Rápido. 3 Smart TVs  con servicios de streaming.
Calefacción panel radiante.
Cerradura digital, acceso sin llave a cualquier hora.
-Se permiten perritos pequeños a solicitud-
Superhost.


Acogedora sala de estar con linda mesa de comedor, sofá, gran SmartTV 55"" con soundbar y calefacción de panel radiante.

Terraza amplia, con living, comedor, mesón de bar y una vista realmente privilegiada a los jardines, piscina, playa Socos y la bahía de Tongoy.

Dormitorio principal: cama king resortes, almohadas y ropa de cama de alta calidad. Escritorio para teletrabajo. Smart TV 46"". Calefacción panel radiante.

Segundo dormitorio: 1 camarote (2 colchones de 1 plaza) y 1 cama nido (2 colchones 1 plaza). Los 4 colchones son de resortes y alta calidad. Para usar la cama nido de abajo se debe extraer (Ver fotos).  Por eso este dormitorio se recomienda para 3 personas, aunque puede dormir sin problemas una cuarta en la cama nido de abajo.  
Almohadas y ropa de cama de alta calidad. Smart TV 32"". Calefacción panel radiante móvil.

Cocina completamente equipada con todo lo necesario para cocinar, lavadora, secadora, lavavajillas, etc. Especial para estadías largas.

Si tienen niños, existe mucha seguridad en el condominio y hay muchos espacios para explorar y jugar. 

El departamento cuenta con 3 Smart TVs con la mayoría de estos servicios de streaming habilitados (Disney+, Star+, HBO GO, Amazon Prime, Apple+).

Limpieza y desinfección: Entendemos las dudas por la Pandemia y estamos siguiendo todas las recomendaciones de aseo y desinfección que nos da Airbnb para máxima tranquilidad con un equipo de aseo y una coordinadora que se encarga personalmente de ello.","['Acceso a la playa', 'Frente a la playa']",4.94,52,Alejandro,05-2014,https://www.airbnb.cl/rooms/44666885?adults=1&children=0&infants=0&pets=0&check_in=2023-03-26&check_out=2023-03-31&previous_page_section_name=1000&federated_search_id=d9bd527a-7da6-4ca8-b95d-80e977da1602
2,Espectacular Depto con enorme jardín y vista,Vivienda rentada entero,Puerto Velero,Coquimbo,6,7,4, Habitación,3,privado,200.0,-30.237,-71.47854,"https://maps.google.com/maps?ll=-30.237,-71.47854&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Este departamento cuenta con amplio espacio de esparcimiento y privacidad para sus ocupantes. 3 baños equipados con ducha, 4 habitaciones, cocina con full equipamiento, lavavajillas, lavarropas y secadora. 
El departamento cuenta con living cómodo, espacioso y acogedor. El comedor cuenta con amplia y elegante mesa de piedra. 
La terraza da a un enorme jardín y a una asombrosa vista a la Bahía de Tongoy.

Por 35mil extra al día puedes contratar los servicios de cocinera y asesora del hogar.


El departamento está amoblado con motivos marítimos y se encuentra a una distancia equidistante entre la playa y la piscina de mar.",['Acceso la playa Público o compartido'],4.79,19,Fran,05-2012,https://www.airbnb.cl/rooms/574678466386909984?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000&federated_search_id=d9bd527a-7da6-4ca8-b95d-80e977da1602
3,Puerto Velero Depto full para disfrutar en Familia,Vivienda rentada entero,Puerto Velero,Región de Coquimbo,6,4,2, Habitación,2,privado,105.0,-30.2418,-71.4737,"https://maps.google.com/maps?ll=-30.2418,-71.4737&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Departamento 2 dormitorios, 2 baños, equipado para 6 personas. Camas Rosen muy confortables (2 camas matrimoniales y un camarote ). A 5 minutos de la playa

Incluye sábanas, toallas de baño y playa.

Ubicado en Condominio Puerto Velero, en un segundo piso con acceso directo desde el estacionamiento. Una excelente vista y un cómodo y rápido acceso a piscina y playa.


Este departamento cuenta con:
-Amplia terraza equipada con vista panorámica al mar (comedor para 6 personas y juego de terraza para 4)
-Logia (con lavadora y secadora)
-Sábanas
-Toallas
-WIFI
-TV cable living (Smart TV) y dormitorios
-Dormitorio principal cama king y un baño.
-Dormitorio secundario cama 2 plazas y un camarote single, tv.
-Segundo baño
-Cocina full equipada con electrodomésticos y muebles de cocina. 
-Lava vajillas.
-Piscinas a la intemperie (pueden ocupar cualquier piscina de la intemperie de cualquier departamento)","['Acceso a playa Público o compartido', 'Frente a la playa']",5.0,54,Mario,12-2016,https://www.airbnb.cl/rooms/30254162?adults=1&children=0&infants=0&pets=0&check_in=2023-03-13&check_out=2023-03-19&previous_page_section_name=1000&federated_search_id=d9bd527a-7da6-4ca8-b95d-80e977da1602
4,"PUERTO VELERO, PRECIOSO RESORT LA MEJOR UBICACION",Condo entero,Tongoy,Coquimbo Region,9,8,4, Habitación,3,privado,200.0,-30.25086,-71.49892,"https://maps.google.com/maps?ll=-30.25086,-71.49892&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"UBICADO A UN PASO DE LA PLAYA, EN PRIMERA LINEA, JUNTO A FUNICULAR,  A POCOS PELDAÑOS DE LA CALLE, EXCELENTE CLIMA. EL DEPARTAMENTO ES MUY AMPLIO Y ESTA EQUIPADO PARA 9 PERSONAS CON TODO LO NECESARIO PARA DISFRUTAR UNAS EXCELENTES VACACIONES. PISCINAS NATURALES, TENNIS, GIMNASIO.

El espacio
Es un lugar amplio y luminoso, con preciosa vista, gran terraza, cómodo. Tiene wifi. El mejor acceso a la playa.",['Cocina'],4.65,37,Bernardita,11-2015,https://www.airbnb.cl/rooms/10033653?adults=1&children=0&infants=0&pets=0&check_in=2023-03-06&check_out=2023-03-11&previous_page_section_name=1000&federated_search_id=d9bd527a-7da6-4ca8-b95d-80e977da1602
5,"A minutos de Avda. del Mar, Malls y Universidades",Condo entero,La Serena,Coquimbo,4,4,2, Habitación,1,privado,24.304,-29.89823,-71.26009,"https://maps.google.com/maps?ll=-29.89823,-71.26009&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Agradable departamento, full equipado, con estacionamiento privado con acceso controlado 24/7, a pasos del  sector Avenida del Mar, Casco histórico, Museo al aire libre Gabriel Gonzalez Videla, Universidades, Mall Puertas del Mar y Mall Plaza La Serena. Departamento equipado para 4 personas con Wifi, Logia con lavadora, secadora y plancha, cocina equipada. Balcón con vista a Avenida,  Arriendo de bicicletas.


Nuestro alojamiento te brindará todas las comodidades para una estadía confortable y agradable.",['Acceso a la playa'],4.81,68,Nelson,06-2018,https://www.airbnb.cl/rooms/25564141?adults=1&children=0&infants=0&pets=0&check_in=2023-03-20&check_out=2023-03-26&previous_page_section_name=1000&federated_search_id=d9bd527a-7da6-4ca8-b95d-80e977da1602
6,Espectacular departamento increíble vista al mar,Condo entero,Coquimbo,Chile,12,10,5, Habitación,"4,5",privado,320.0,-30.08814,-71.37353,"https://maps.google.com/maps?ll=-30.08814,-71.37353&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Espectacular y amplio departamento, con inmejorable vista al mar. Perfecto para descansar y relajarte con amigos o en familia.

El espacio
Departamento amplio y comodo.
Vista maravillosa!!

Habitaciones
-Dos habitaciones en suite ambas con  cama matrimonial , con salida a terraza y vista al mar
Baño principal con jacuzzi
Ambas con tv con cable

-Hab. con camarote y cama abajo 
-Hab. con dos camas  de 11/2plaza y otra cama ,abajo de una de ellas
Estas 2 hab comparten baño
- Hab de servicio o adicional con dos camas de 11/2 plaza y baño
- baño de visita

-Sabanas y toallas incluidas
Todas las camas con plumones

Living y comedor grande

Salida a una gran terraza con -muebles de terraza
- parlante bluethoot
-mesa con sus sillas-8
-Parilla 
-2 tumbonas para tomar sol

Cocina

Completamente equipada
Refrigerador
Horno
Cocina
Parrilla eléctrica etc
Lavavajilla
Lavadora
Secadora
Plancha/ tabla de planchar/ colgador de ropa 
2 secadores de pelo",['Acceso a la playa'],5.0,12,Ximena,08-2019,https://www.airbnb.cl/rooms/588983879886663589?adults=1&children=0&infants=0&pets=0&check_in=2023-03-01&check_out=2023-03-06&previous_page_section_name=1000&federated_search_id=d9bd527a-7da6-4ca8-b95d-80e977da1602
7,Departamento completo con Insuperable vista al mar,Vivienda rentada entero,Coquimbo,Chile,5,4,2, Habitación,2,privado,61.947,-29.95715,-71.30743,"https://maps.google.com/maps?ll=-29.95715,-71.30743&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Departamento completamente amoblado, living, cocina, 2 habitaciones, 2 baños, terraza, internet alta velocidad, wifi, netflix, Tv en habitación.
Actualmente cuenta con capacidad ideal para 4 personas, aunque cuenta con 1 sofá cama extra para un quinto huésped (la ropa del sofá cama estará disponible en el armario).

Cuenta con una exquisita piscina o si bien prefiere cruza a La playa que esta al frente!


La habitación principal, cuenta con una cama King y un baño en suite y vista en primera línea al mar, mientras se está acostado. Tiene un televisor de 50 pulgadas instalado, ud puede escoger ver el TV o bien mirar el puerto o las olas del mar.

La segunda habitación, cuenta con 2 camas de plaza y media, también con vista completa al mar. Frente a esta habitación se encuentra el segundo baño. 

Cocina junto a la sala y completamente equipada, con todo lo que pudiese necesitar, cocina eléctrica en perfecto estado y campana. 

Sala con 1 sofá cama y vista completa y panorámica a la playa y el mar.

Terraza abierta, cuenta con vista total y frontal directamente a la piscina y al mar.","['Acceso a la playa', 'Frente a la playa']",4.55,29,Mario,09-2019,https://www.airbnb.cl/rooms/46984848?adults=1&children=0&infants=0&pets=0&check_in=2023-03-04&check_out=2023-03-11&previous_page_section_name=1000&federated_search_id=d9bd527a-7da6-4ca8-b95d-80e977da1602
8,Departamento Ideal Familias,Vivienda rentada entero,Puerto Velero,Región de Coquimbo,10,8,4, Habitación,3,privado,214.286,-30.23626,-71.47608,"https://maps.google.com/maps?ll=-30.23626,-71.47608&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Departamento en primer piso con Jardín, preciosa vista.
Ideal para dos familias con niños

El espacio
El alojamiento no incluye sábanas ni toallas.
Cada cama cuenta con un plumón y almohada.","['Acceso a playa Público o compartido', 'Frente a la playa']",4.88,33,Paulina,06-2016,https://www.airbnb.cl/rooms/22838198?adults=1&children=0&infants=0&pets=0&check_in=2023-03-02&check_out=2023-03-09&previous_page_section_name=1000&federated_search_id=d9bd527a-7da6-4ca8-b95d-80e977da1602
9,Departamento Gran Marina Costa,Vivienda rentada entero,Coquimbo,Chile,5,4,2, Habitación,1,privado,50.0,-29.94713,-71.29004,"https://maps.google.com/maps?ll=-29.94713,-71.29004&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Lindo departamento en tercer piso, orientación oriente. A menos de 5 minutos de la playa, con acceso privado desde el condominio, y a tan solo 3 de Casino Enjoy. A pasos de la ruta 5 norte. 
Totalmente equipado para 4 personas.
Hay minimarkets a pasos del condominio, en los que encontrarás todo tipo de alimentos, artículos de aseo, cargadores, además hay diversos pubs, locales de comida rápida, restaurantes, casino, máquinas de ejercicio, club de tenis, ferias artesanales, etc.


Dormitorio principal con cama de 2 plazas/queen, con persianas y cortinas black out para otorgar un mejor descanso. 
Segundo dormitorio pequeño con camarote de plaza, el cual soporta 100 kilos en la cama inferior, y 80 kilos la superior.",['Acceso la playa Privado'],5.0,12,Valeria,02-2019,https://www.airbnb.cl/rooms/45244466?adults=1&children=0&infants=0&pets=0&check_in=2023-03-04&check_out=2023-03-10&previous_page_section_name=1000&federated_search_id=d9bd527a-7da6-4ca8-b95d-80e977da1602
