,Titulo1,Titulo2,Comuna,Capacidad,Camas,N_Habitaciones,Habitaciones,Baños,Tipo_Baños,Precio,lat,lon,Ubicacion,Ubides,Descripción,Servicios,Nota,Nnota,Anfitrion,Registro,Link
0,Casa con piscina frente Bahía la Herradura 👍🏼 vista,Casa de huéspedes entero,Coquimbo,10,8,4, Habitación,3,privado,"150,000",-29.97578,-71.36833,"https://maps.google.com/maps?ll=-29.97578,-71.36833&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Barrio residencial muy seguro. Cerca de playa del club de Yates y Playa bahía la Herradura, cercano a varios minimarket y supermercado Santa Isabel, club de yates, y mirador la herradura.","Maravillosa casa con piscina (desde octubre) frente al mar, primer piso totalmente independiente, y con vista a la Herradura de Coquimbo. A distancia caminable de la playa (6 cuadras) y en barrio residencial muy seguro y tranquilo. 
Tres terrazas, dos techadas
Estacionamiento para dos vehículos, amplio jardín, y lavadero.
Piscina en patio superior con gran terraza descubierta y una vista incomparable a la bahía.


Alojamiento completamente equipado para 10 personas.",['Vista a la bahía'],4.62,34,Viviana Sarella,08-2017,https://www.airbnb.cl/rooms/31208702?adults=1&children=0&infants=0&pets=0&check_in=2023-02-26&check_out=2023-03-03&previous_page_section_name=1000
1,"Arriendo mi segundo piso, entrada independiente",Casa de huéspedes entero,Coquimbo,10,7,4, Habitación,2,privado,"50,000",-29.95597,-71.27116,"https://maps.google.com/maps?ll=-29.95597,-71.27116&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",Es un barrio residencial y tranquilo.,"Alojamiento ubicado en el límite de la ciudades de La Serena y Coquimbo, cercano a playas, supermercados, mall, Outlet, estaciones de combustible, centro de La Serena y  Coquimbo.
2.7 km a Playa Peñuelas,  Avenida del mar.
2,6 km a casino Enjoy Coquimbo. 
1 km a supermercado Lider y Unimarc. 
1.9 km a Vivo Outlet Peñuelas. 
4.4 km a Arauco Premiun Outlet Coquimbo.
6.8 km a mall Plaza La Serena.
7.9 km mall vivo Coquimbo.
8.2 km plaza de armas de La Serena.
8.7 km a plaza de armas de Coquimbo.


es una casa de segundo piso con entrada independiente y un estacionamiento.
esta habilitada para un máximo de 8 personas. 
cuenta con 4 dormitorios disponiblessegún númerode personas as, 2 baños, living, comedor y cocina amplia.",['Acceso la playa Público o compartido'],4.77,13,Jorge,01-2019,https://www.airbnb.cl/rooms/533118717654437416?adults=1&children=0&infants=0&pets=0&check_in=2023-02-12&check_out=2023-02-17&previous_page_section_name=1000
2,Casa para Huéspedes,Casa de huéspedes entero,Coquimbo,6,5,3, Habitación,2,privado,"33,612",-29.98605,-71.35277,"https://maps.google.com/maps?ll=-29.98605,-71.35277&z=14&t=m&hl=es&gl=CL&mapclient=apiv3","Vecindario Residencial, Silencioso. Se puede acceder al mar caminado a unos 5 minutos. Se puede encontrar supermercado Santa Isabel, cerca. La playa mas cercana es llamada ""playa la herradura"", la que tiene numerosos restoranes muy bien evaluados, hay un pequeño bulevar donde se puede acceder a una pastelería con patio de comida y un mini Marquet. También pueden visitar un pequeño muelle con sus veleros y todo a unos pasos de la residencia.","Relájate con   la familia en este tranquilo y seguro barrio a pocos minutos del mar.

 Un espacio muy hogareño,  tranquilo y acogedor. 

 Yo, Patricia como anfitriona los ayudaré a que se sientan como en su hogar. 

Tendrás un espacio  exclusivo, con total privacidad.

Bienvenidos!",['Vista al patio'],,,Juan,03-2013,https://www.airbnb.cl/rooms/807185136401739069?adults=1&children=0&infants=0&pets=0&check_in=2023-02-25&check_out=2023-03-02&previous_page_section_name=1000
3,"Guanaqueros, Campo y mar",Habitación privada en casa de huéspedes,Guanaqueros,8,5,4, Habitación,2,privado,"120,008",-30.2103,-71.3968,"https://maps.google.com/maps?ll=-30.2103,-71.3968&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Lleva a toda la familia a este fantástico lugar con muchas zonas para divertirse.
Con muchas áreas al aire libre, piscinas, tinaja, quincho, cómodas y hermosas habitaciones que harán de tus vacaciones una experiencia inolvidable.",['Cocina'],,,Nelson,01-2023,https://www.airbnb.cl/rooms/811039120797830605?adults=1&children=0&infants=0&pets=0&check_in=2023-02-25&check_out=2023-03-02&previous_page_section_name=1000
4,Casa acogedora en la comunidad ecológica el Panul,Casa de huéspedes entero,Coquimbo,15,11,5, Habitación,2,privado,"80,623",-29.98889,-71.35872,"https://maps.google.com/maps?ll=-29.98889,-71.35872&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Desconecta y re conecta en este alojamiento único y relajante, en medio de la naturaleza única de la comunidad ecológica del Panul.",['Cocina'],4.80,5,Carlos Dixon,07-2021,https://www.airbnb.cl/rooms/51319329?adults=1&children=0&infants=0&pets=0&check_in=2023-02-10&check_out=2023-02-16&previous_page_section_name=1000
5,Casa Valle del Elqui,Casa de huéspedes entero,La Serena,6,4,3, Habitación,2,privado,"79,700",-29.92432,-71.21566,"https://maps.google.com/maps?ll=-29.92432,-71.21566&z=14&t=m&hl=es&gl=CL&mapclient=apiv3",,"Acogedora parcela  en condominio ,  ubicada en el Valle del Elquí. Cabaña con capacidad para 6 personas, 3 dormitorios y 2 baños.  Cuenta con piscina y cancha de baby fútbol.",['Cocina'],,,Rocio,04-2017,https://www.airbnb.cl/rooms/35414440?adults=1&children=0&infants=0&pets=0&check_in=2023-04-01&check_out=2023-04-06&previous_page_section_name=1000
